Jian Xu
Jun Xu
Weijia Xu
Feng Yan
Rui Yan
Haiqin Yang
Xiaoyan Yang
Jianwei Yin
Yiming Ying
Chun-Nam Yu
Qi Yu
Shui Yu
Weikuan Yu
Carlo Zaniolo
Chengxiang Zhai
Kai Zhang
Kunpeng Zhang
Meihui Zhang
Min Zhang
Rui Zhang
Wenjie Zhang
Ya Zhang
Ming Zhao
Fang Zhou
Guangyou Zhou
Nianjun (Joe) Zhou
Feida Zhu
Ashok Joshi
Ramesh Chitor
Nicolas Poggi
Rekha Singhal
Han Yang
Daniel Bowers
Joseph Kasten
Pouria PirzadehL
Alain Crolotte
Adel Taweel
Akon Dey
William Z. Bernstein
Cheng Bo
Burcin Bozkaya
Carlos Castillo
Zhengzhang Chen
Mehdi Dadfarnia
Sameh Elnikety
Nancy Grady
Hansu Gu
Jan-Ming Ho
Bo Hu
Karthik Kulkarni
Kincho Law
Min Li
Qiang Ma
Tariq Magdon-Ismail
Bob Marcus
Kiran Mehta
Xiaofeng Meng
Kevin Mills
Ye Ouyang
Tilmann Rabl
Krithi Ramamritham
Gyan Ranjan
Amit Saha
Ramendra Sahoo
Koichi Shirahata
Srivathsan Srinivasagopalan
Chii-Ren Tsai
Qingsong Wen
Carl Willis-Ford
Lingfei Wu
Yinglong Xia
Jin Yang
""
Keynote Speakers
Dr. Carla E. Brodley
Dr. Alan Edelman
Dr. Satoshi Matsuoka
Dr. ChengXiang Zhai
Dr. Jure Leskovec
Dr. John Langford
""
