Alexander Gray
Marko Grobelnik
Hansu Gu
Jan-Ming Ho
Bo Hu
Ziang Hu
Alexandru Iosup
Nilesh Jain
Kincho Law
Orit Levin
Min Li
Caimei Lu
Qiang Ma
Bob Marcus
Kiran Mehta
Xiaofeng Meng
Kevin Mills
Norman Owens
Fabrizio Petrini
Larri Pey
Meikel Poess
Tilmann Rabl
Matthew Rattigan
Ramendra Sahoo
Daniel Samarov
Mohak Shah
Michael Sharp
Koichi Shirahata
Fenglong Song
Srivathsan Srinivasagopalan
Ilie Tanase
Wei Tang
Chiba Tatsuhiro
Bryan Thompson
Chii-Ren Tsai
Mark Underwood
Valeria Vitelli
Chonggang Wang
Nan Wang
Carl Willis-Ford
Lingfei Wu
Yu Xu
Zheng Yan
Ming Zhang
Nathalie Baracaldo
Taghi M. Khoshgoftaar
Amirreza Masoumzadeh
Hassan Takabi
