Edward Apostol
Pete Barr-Watson
Gregg Caines
Mike Chambers
Brendan Dawes
Brian Donovan
Trevor Fencot
Franke James
Tony SY Ke
Jason Krogh
Robert Labossiere
Jean-Pierre Lacroix
Henry Lee
Gord Mackenzie
Colin Moock
John Nack
Matt Newman
Robert Penner
Todd Purgason
Robert Reinhardt
Glen Rhodes
Craig Swann
Phillip Torrone
Kevin Towes
Dave Yang
