Year,Asian,"Black, Non Latino",Hispano Latino,"White, Non Latino"
1,4,4,0,17
2,1,7,0,21
3,8,12,2,47
4,9,14,6,60
5,6,10,2,36
6,11,10,5,63
7,8,14,8,56
8,14,4,6,57
9,10,11,5,57
10,13,11,3,46
11,11,13,6,39
12,15,6,8,44
13,13,16,7,57
14,15,10,5,39
15,16,14,6,45
16,16,9,6,41
17,15,7,5,43
18,18,11,1,45
