Year,Male,Female,Ratio
1,25,0,0
2,27,2,0.068965517241379
3,59,10,0.144927536231884
4,76,13,0.146067415730337
5,49,5,0.092592592592593
6,82,8,0.088888888888889
7,78,8,0.093023255813954
8,72,9,0.111111111111111
9,72,11,0.132530120481928
10,65,8,0.10958904109589
11,62,7,0.101449275362319
12,63,10,0.136986301369863
13,74,19,0.204301075268817
14,56,13,0.188405797101449
15,61,20,0.246913580246914
16,54,18,0.25
17,49,21,0.3
18,44,31,0.413333333333333
