Names
Dr. Ricardo Baeza-Yates
Prof. Xiaohua Tony Hu
Dr. Jeremy Kepner
Prof. Jian-Yun Nie
Prof. Zoran Obradovic
Dr. Toyotaro Suzumura
Dr. Raghunath Nambiar
Dr. Sudarsan  Rachuri
Dr. Rumi Ghosh
Dr. Chonggang Wang
Dr. Hui Zang
Prof. Alfredo Cuzzocrea
Prof. Jian Tang
Prof. Masashi Toyoda
Prof. Feng Chen
Dr. Jianliang Gao
Dr. Mu Qiao
Prof. Alexandru Costan
Prof. Jingrui He
Prof. Feng Luo
Prof. Yicheng Tu
Prof. Yuan An
Prof. Yihua Huang
Prof. Wookey Lee
Dr. Dominik Slezak
Prof. Jianwu Wang
Dr. Amr Awadallah
Dr. Xueqi Cheng
Prof. Yi-ke Guo
Prof. Jimmy Lin
Prof. Xiaohua Tony Hu (Chair) (
)
Dr. Raghunath Nambiar
Prof. Jian Pei
Prof. Vijay Raghavan
Prof. Amit Sheth
Prof. Matthew Smith
Dr. Shusaku Tsumoto
Prof. Athanasios Vasilakos
Prof. Qiang Yang
Pro. Wei Wang
